Age,Gender,OrderedItem,When,Order Type,,
36,1,Chips,Afternoon,Eat In,,
42,1,White Tea,Morning,Eat In,,
23,1,Black Tea,Morning,Eat In,,
23,0,Kebab,Afternoon,Eat In,,
38,1,Chips Masala,Afternoon,Eat In,,
19,0,Beef Burger,Afternoon,Eat In,,
26,0,Chiecken Burger,Afternoon,Eat In,,
21,0,Fish Nuggets,Afternoon,Eat In,,
20,1,White Tea,Morning,Eat In,,
52,1,Sausage,Afternoon,Eat In,,
43,1,White Tea,Morning,Eat In,,
44,1,Kebab,Afternoon,Eat In,,
66,1,Energy Drink,Afternoon,Eat In,,
35,1,Chips Masala,Noon,Eat In,,
52,1,Coffee,Morning,Eat In,,
35,0,Chips,Noon,Eat In,,
24,0,Chips Masala,Afternoon,Eat In,,
18,0,Chips Masala,Afternoon,Eat In,,
45,0,Beef Burger,Afternoon,Eat In,,
30,0,Beef Burger,Afternoon,Eat In,,
37,0,Beef Burger,Afternoon,Eat In,,
26,0,Beef Burger,Afternoon,Eat In,,
24,0,Beef Burger,Afternoon,Eat In,,
17,1,Beef Burger,Afternoon,Eat In,,
17,1,Beef Burger,Afternoon,Eat In,,
22,0,Beef Burger,Afternoon,Eat In,,
19,1,Beef Burger,Afternoon,Eat In,,
23,0,Beef Burger,Afternoon,Eat In,,
13,0,Beef Burger,Afternoon,Eat In,,
19,1,Beef Burger,Noon,Eat In,,
11,1,Beef Burger,Noon,Eat In,,
11,1,Beef Burger,Noon,Eat In,,
12,1,Beef Burger,Noon,Eat In,,
15,0,Beef Burger,Noon,Eat In,,
11,0,Kebab,Noon,Eat In,,
11,0,Kebab,Noon,Eat In,,
21,1,Chips,Noon,Eat In,,
26,0,Chips,Noon,Eat In,,
18,0,Chips Masala,Mid-Morning,Eat In,,
35,0,Chips,Mid-Morning,Eat In,,
23,1,Lemon Tea,Mid-Morning,Eat In,,
25,0,Fish Nuggets,Mid-Morning,Eat In,,
29,0,Fish Nuggets,Mid-Morning,Eat In,,
26,1,Fish Nuggets,Noon,Eat In,,
23,1,Fish Nuggets,Noon,Eat In,,
26,1,Fish Nuggets,Noon,Eat In,,
22,0,Chicken Burger,Noon,Eat In,,
21,0,Beef Burger,Noon,Eat In,,
14,1,Beef Burger,Noon,Eat In,,
20,0,Chicken Burger,Noon,Eat In,,
18,1,Beef Burger,Noon,Eat In,,
22,0,Beef Burger,Noon,Eat In,,
26,0,Beef Burger,Noon,Eat In,,
23,1,Beef Burger,Noon,Eat In,,
24,1,Chips,Noon,Eat In,,
14,1,Chips,Noon,Eat In,,
21,1,Chips,Noon,Eat In,,
19,1,Chips,Noon,Eat In,,
17,0,Chips,Noon,Eat In,,
23,0,Chips,Noon,Eat In,,
16,0,Chips,Noon,Eat In,,
17,0,Chips,Noon,Eat In,,
21,1,Chips,Noon,Eat In,,
36,1,Chips,Noon,Eat In,,
35,0,Chips,Noon,Eat In,,
19,1,Chips,Noon,Eat In,,
20,1,Chips,Noon,Eat In,,
19,1,Chips,Noon,Eat In,,
27,1,Chips,Noon,Eat In,,
28,0,Chips,Noon,Eat In,,
16,0,Chips,Noon,Eat In,,
20,0,Chips,Noon,Eat In,,
23,0,Chips,Noon,Eat In,,
18,1,Chips,Noon,Eat In,,
17,1,Chips,Noon,Eat In,,
27,0,Chips,Noon,Eat In,,
18,0,Chips,Noon,Eat In,,
19,0,Chips,Noon,Eat In,,
13,0,Chips,Noon,Eat In,,
18,1,Chips,Noon,Eat In,,
15,0,Chips,Noon,Eat In,,
15,0,Chips,Noon,Eat In,,
20,0,Chips,Noon,Eat In,,
36,0,Chips,Noon,Eat In,,
22,0,Chips,Noon,Eat In,,
28,0,Chips,Noon,Eat In,,
24,0,Chips,Noon,Eat In,,
22,0,Chips,Noon,Eat In,,
25,1,Chips,Noon,Eat In,,
25,1,Chips,Noon,Eat In,,
22,1,Chips,Noon,Eat In,,
17,1,Chips,Noon,Eat In,,
13,0,Chips,Noon,Eat In,,
19,0,Chips,Noon,Eat In,,
24,1,Chips,Noon,Eat In,,
14,1,Chips,Noon,Eat In,,
13,0,Chips,Noon,Eat In,,
22,1,Chips,Noon,Eat In,,
15,1,Chips,Noon,Eat In,,
14,1,Chips,Noon,Eat In,,
14,1,Chips,Noon,Eat In,,
8,1,Chips,Noon,Eat In,,
14,1,Chips,Noon,Eat In,,
30,1,Chips,Noon,Eat In,,
18,1,Chips,Noon,Eat In,,
25,1,Chips,Noon,Eat In,,
16,0,Chips,Noon,Eat In,,
24,0,Chips,Noon,Eat In,,
25,0,Chips,Noon,Eat In,,
18,0,Chips,Noon,Eat In,,
20,0,Chips,Noon,Eat In,,
12,0,Chips,Noon,Eat In,,
16,0,Chips,Noon,Eat In,,
14,0,Chips,Noon,Eat In,,
14,1,Chips,Noon,Eat In,,
13,1,Chips,Noon,Eat In,,
19,0,Chips,Noon,Eat In,,
11,1,Chips,Noon,Eat In,,
10,1,Chips,Noon,Eat In,,
19,1,Chips,Noon,Eat In,,
16,1,Chips,Noon,Eat In,,
11,1,Chips,Noon,Eat In,,
19,1,Chips,Noon,Eat In,,
29,0,Chips,Noon,Eat In,,
29,0,Chips,Noon,Eat In,,
20,0,Chips,Noon,Eat In,,
16,1,Chips,Noon,Eat In,,
16,0,Chips,Noon,Eat In,,
20,0,Chips,Noon,Eat In,,
13,1,Chips,Noon,Eat In,,
14,1,Chips,Noon,Eat In,,
17,1,Chips,Noon,Eat In,,
18,1,Chips,Noon,Eat In,,
11,1,Chips,Noon,Eat In,,
10,1,Chips,Noon,Eat In,,
